Date,Data
7/25/2024,70.3
7/24/2024,69.8
7/23/2024,69.1
7/22/2024,67.8
7/19/2024,68.8
7/18/2024,69.3
7/17/2024,68.7
7/16/2024,69.8
7/15/2024,69.4
7/12/2024,68.2
7/11/2024,70.1
7/10/2024,70.6
7/9/2024,69.5
7/8/2024,71.0
7/5/2024,72.2
7/4/2024,73.2
7/3/2024,73.2
7/2/2024,73.7
7/1/2024,73.2
6/28/2024,71.9
6/27/2024,71.6
6/26/2024,71.8
6/25/2024,73.5
6/24/2024,71.6
6/21/2024,68.9
6/20/2024,69.6
6/19/2024,71.1
6/18/2024,71.1
6/17/2024,71.7
6/14/2024,71.7
6/13/2024,70.0
6/12/2024,69.2
6/11/2024,69.2
6/10/2024,71.3
6/7/2024,71.2
6/6/2024,71.0
6/5/2024,71.9
6/4/2024,71.8
6/3/2024,70.5
5/31/2024,72.5
5/30/2024,71.9
5/29/2024,73.3
5/28/2024,74.4
5/27/2024,73.5
5/24/2024,73.5
5/23/2024,74.7
5/22/2024,73.6
5/21/2024,71.7
5/20/2024,72.7
5/17/2024,70.7
5/16/2024,69.5
5/15/2024,65.5
5/14/2024,68.1
5/13/2024,69.0
5/10/2024,69.5
5/9/2024,69.9
5/8/2024,72.1
5/7/2024,71.1
5/6/2024,73.4
5/3/2024,71.3
5/2/2024,72.4
5/1/2024,75.5
4/30/2024,76.7
4/29/2024,74.6
4/26/2024,72.2
4/25/2024,74.3
4/24/2024,73.8
4/23/2024,73.8
4/22/2024,76.1
4/19/2024,76.4
4/18/2024,76.1
4/17/2024,74.0
4/16/2024,76.3
4/15/2024,75.0
4/12/2024,72.2
4/11/2024,72.3
